"user.id","user.B.id","proximity","calls","SMS"
62,2,132,0,0
63,2,0,0,0
64,2,49,0,0
65,2,0,0,0
66,2,656,0,0
67,2,4,0,0
68,2,18,0,0
69,2,459,0,0
70,2,641,0,0
71,2,3123,0,0
72,2,41,0,0
73,2,0,0,0
74,2,3,0,0
75,2,20,0,0
76,2,1002,0,0
77,2,7,0,0
78,2,35,0,0
79,2,26,0,0
80,2,20,0,0
81,2,0,0,0
82,2,0,0,0
83,2,0,0,0
84,2,0,0,0
1,3,0,0,0
2,3,0,0,0
3,3,0,0,0
4,3,0,0,0
5,3,0,0,0
6,3,0,0,0
7,3,0,0,0
8,3,0,0,0
9,3,0,0,0
10,3,0,0,0
11,3,0,0,0
12,3,0,0,0
13,3,0,0,0
14,3,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,0,0,0
18,3,0,0,0
19,3,0,0,0
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,0,0,0
24,3,0,0,0
25,3,0,0,0
26,3,0,0,0
27,3,0,0,0
28,3,0,0,0
29,3,0,0,0
30,3,0,0,0
31,3,0,0,0
32,3,0,0,0
33,3,0,0,0
34,3,0,0,0
35,3,0,0,0
36,3,0,0,0
37,3,0,0,0
38,3,0,0,0
39,3,0,0,0
40,3,0,0,0
41,3,0,0,0
42,3,0,0,0
43,3,0,0,0
44,3,0,0,0
45,3,0,0,0
46,3,0,0,0
47,3,0,0,0
48,3,0,0,0
49,3,0,0,0
50,3,0,0,0
51,3,0,0,0
52,3,0,0,0
53,3,0,0,0
54,3,0,0,0
55,3,0,0,0
56,3,0,0,0
57,3,0,0,0
58,3,0,0,0
59,3,0,0,0
60,3,0,0,0
61,3,0,0,0
62,3,0,0,0
63,3,0,0,0
64,3,0,0,0
65,3,0,0,0
66,3,0,0,0
67,3,0,1,0
68,3,0,0,0
69,3,0,0,0
70,3,0,0,0
71,3,0,0,0
72,3,0,0,0
73,3,0,0,0
74,3,0,0,0
75,3,0,0,0
76,3,0,0,0
77,3,0,0,0
78,3,0,0,0
79,3,0,0,0
80,3,0,0,0
81,3,0,0,0
82,3,0,0,0
83,3,0,0,0
84,3,0,0,0
1,4,627,0,0
2,4,5,0,0
3,4,0,0,0
4,4,0,3,19
5,4,47,0,0
6,4,1,0,0
7,4,5013,470,152
8,4,27,0,0
9,4,3,12,0
10,4,80,0,0
11,4,1595,0,0
12,4,15,0,0
13,4,0,0,0
14,4,1,0,0
15,4,157,0,0
16,4,127,1,0
17,4,0,0,0
18,4,1415,0,0
19,4,1,0,0
20,4,11,0,0
21,4,343,11,9
22,4,30,0,0
23,4,50,0,0
24,4,706,6,0
25,4,8,0,0
26,4,0,0,0
27,4,281,4,0
28,4,6,0,0
29,4,21,0,0
30,4,26,0,0
31,4,226,8,0
32,4,40,0,0
33,4,60,0,0
34,4,10,0,0
35,4,54,0,0
36,4,61,0,0
37,4,18,0,0
38,4,1,0,0
39,4,0,0,0
40,4,0,0,0
41,4,0,0,0
42,4,19,0,0
43,4,41,0,0
44,4,342,7,8
45,4,37,0,0
46,4,3120,0,0
47,4,32,0,0
48,4,10,0,0
49,4,96,0,0
50,4,0,0,0
51,4,3,0,0
52,4,2197,1,2
53,4,0,0,0
54,4,0,0,0
55,4,3,0,0
56,4,7,0,0
57,4,501,0,0
58,4,270,1,0
59,4,12,0,0
60,4,2,0,0
61,4,21,0,0
62,4,25,0,0
63,4,0,0,0
64,4,124,0,0
65,4,42,0,0
66,4,2,0,0
67,4,3,0,0
68,4,13,0,0
